"year_streamed","artist_name","ts_count"
"2014","Ron Basejam","1"
"2015","Lars Behrenroth","3"
"2015","Pelican","1"
"2015","Prof.Sakamoto","1"
"2015","Scott Walker","1"
"2015","Tef Poe","1"
"2017","Brian Eno","1348"
"2017","Denitia and Sene","658"
"2017","Kilo Kish","421"
"2017","letherette","350"
"2017","Brian Eno & Rick Holland","346"
"2018","Brian Eno","1294"
"2018","Erik Satie","644"
"2018","Nature Sounds","289"
"2018","Denitia and Sene","228"
"2018","Treasure Fingers","216"
"2019","Darius","1174"
"2019","Chill Bees","876"
"2019","Nature Sounds","683"
"2019","The Sleep Helpers","429"
"2019","Rain Sound Studio","428"
"2020","Dexta Daps","398"
"2020","MHD","340"
"2020","Frank Ocean","169"
"2020","Orion Sun","140"
"2020","Burna Boy","138"
"2021","StreamBeats by Harris Heller","4442"
"2021","Pop Smoke","405"
"2021","Universo","355"
"2021","Harris Heller","347"
"2021","Vishal Casey","296"
"2022","StreamBeats by Harris Heller","2297"
"2022","From Us","492"
"2022","oh, the joy.","280"
"2022","NxxxxxS","247"
"2022","Innesti","221"
"2023","StreamBeats by Harris Heller","1895"
"2023","Green Piccolo","1497"
"2023","DJ Acura","839"
"2023","Dreamcloud Haze","490"
"2023","LÃ­om","445"
"2024","Green Piccolo","1430"
"2024","StreamBeats by Harris Heller","884"
"2024","Ryan Celsius Sounds","390"
"2024","Lala &ce","386"
"2024","sword","366"
"2025","Green Piccolo","75"
"2025","Baxdew","61"
"2025","Dirty Art Club","55"
"2025","Cassyb","51"
"2025","Bobby Dreamz BIG","41"
